Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
466.990291	10.790042	5.310716	0.466990	2.031749	
467.961165	10.801627	5.299900	0.467961	2.038081	
468.932039	10.836383	5.299900	0.468932	2.044639	
469.902913	10.801627	5.289084	0.469903	2.042249	
470.873786	10.813212	5.299900	0.470874	2.040267	
471.844660	10.813212	5.289084	0.471845	2.044439	
472.815534	10.836383	5.278268	0.472816	2.053019	
473.786408	10.790042	5.289084	0.473786	2.040059	
474.757282	10.801627	5.310716	0.474757	2.033930	
475.728155	10.801627	5.321532	0.475728	2.029796	
476.699029	10.836383	5.321532	0.476699	2.036327	
477.669903	10.824798	5.321532	0.477670	2.034150	
478.640777	10.813212	5.343165	0.478641	2.023747	
479.611650	10.871139	5.332349	0.479612	2.038715	
480.582524	10.882724	5.310716	0.480583	2.049201	
481.553398	10.905894	5.343165	0.481553	2.041093	
482.524272	10.917480	5.310716	0.482524	2.055745	
483.495146	10.917480	5.332349	0.483495	2.047405	
484.466019	10.940650	5.332349	0.484466	2.051751	
485.436893	10.940650	5.299900	0.485437	2.064312	
486.407767	10.940650	5.310716	0.486408	2.060108	
487.378641	10.940650	5.289084	0.487379	2.068534	
488.349515	10.940650	5.310716	0.488350	2.060108	
489.320388	10.894309	5.321532	0.489320	2.047213	
490.291262	10.940650	5.310716	0.490291	2.060108	
