Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
429.126214	4.560418	5.104777	0.429126	0.893363	
430.097087	4.572004	5.126410	0.430097	0.891853	
431.067961	4.583589	5.126410	0.431068	0.894113	
432.038835	4.606759	5.137226	0.432039	0.896741	
433.009709	4.629930	5.137226	0.433010	0.901251	
433.980583	4.618345	5.126410	0.433981	0.900893	
434.951456	4.641515	5.126410	0.434951	0.905412	
435.922330	4.653100	5.126410	0.435922	0.907672	
436.893204	4.676271	5.115594	0.436893	0.914121	
437.864078	4.676271	5.137226	0.437864	0.910272	
438.834951	4.699441	5.126410	0.438835	0.916712	
439.805825	4.722612	5.083145	0.439806	0.929073	
440.776699	4.734197	5.104777	0.440777	0.927405	
441.747573	4.780538	5.093961	0.441748	0.938472	
442.718447	4.780538	5.115594	0.442718	0.934503	
443.689320	4.815294	5.104777	0.443689	0.943292	
444.660194	4.838464	5.115594	0.444660	0.945827	
445.631068	4.873220	5.115594	0.445631	0.952621	
446.601942	4.896391	5.115594	0.446602	0.957150	
447.572816	4.907976	5.126410	0.447573	0.957391	
448.543689	4.942732	5.126410	0.448544	0.964170	
449.514563	4.954317	5.137226	0.449515	0.964395	
450.485437	4.989073	5.158858	0.450485	0.967089	
451.456311	4.965902	5.158858	0.451456	0.962597	
452.427184	4.989073	5.148042	0.452427	0.969120	
453.398058	5.000658	5.158858	0.453398	0.969334	
454.368932	5.000658	5.148042	0.454369	0.971371	
455.339806	5.000658	5.148042	0.455340	0.971371	
456.310680	5.012243	5.158858	0.456311	0.971580	
457.281553	5.035414	5.126410	0.457282	0.982250	
458.252427	5.046999	5.126410	0.458252	0.984509	
459.223301	5.058584	5.137226	0.459223	0.984692	
460.194175	5.081755	5.126410	0.460194	0.991289	
461.165049	5.093340	5.137226	0.461165	0.991457	
462.135922	5.128096	5.148042	0.462136	0.996125	
463.106796	5.151266	5.126410	0.463107	1.004849	
464.077670	5.174437	5.126410	0.464078	1.009369	
465.048544	5.186022	5.126410	0.465049	1.011628	
466.019417	5.232363	5.148042	0.466019	1.016379	
466.990291	5.267119	5.137226	0.466990	1.025285	
467.961165	5.278704	5.137226	0.467961	1.027540	
468.932039	5.278704	5.148042	0.468932	1.025381	
469.902913	5.301875	5.137226	0.469903	1.032050	
470.873786	5.301875	5.158858	0.470874	1.027723	
471.844660	5.325045	5.158858	0.471845	1.032214	
472.815534	5.348216	5.148042	0.472816	1.038883	
473.786408	5.336630	5.158858	0.473786	1.034460	
474.757282	5.371386	5.148042	0.474757	1.043384	
475.728155	5.371386	5.148042	0.475728	1.043384	
476.699029	5.382971	5.126410	0.476699	1.050047	
477.669903	5.417727	5.148042	0.477670	1.052386	
478.640777	5.371386	5.137226	0.478641	1.045581	
479.611650	5.417727	5.126410	0.479612	1.056827	
480.582524	5.452483	5.126410	0.480583	1.063607	
481.553398	5.440898	5.158858	0.481553	1.054671	
482.524272	5.475653	5.137226	0.482524	1.065877	
483.495146	5.498824	5.148042	0.483495	1.068139	
484.466019	5.487239	5.158858	0.484466	1.063654	
485.436893	5.510409	5.137226	0.485437	1.072643	
486.407767	5.521994	5.169674	0.486408	1.068151	
487.378641	5.568335	5.169674	0.487379	1.077115	
488.349515	5.579921	5.148042	0.488350	1.083892	
489.320388	5.579921	5.148042	0.489320	1.083892	
490.291262	5.603091	5.158858	0.490291	1.086111	
491.262136	5.626262	5.180490	0.491262	1.086048	
492.233010	5.603091	5.148042	0.492233	1.088393	
493.203883	5.626262	5.169674	0.493204	1.088320	
494.174757	5.661017	5.169674	0.494175	1.095043	
495.145631	5.672603	5.169674	0.495146	1.097284	
496.116505	5.695773	5.169674	0.496117	1.101766	
497.087379	5.695773	5.169674	0.497087	1.101766	
498.058252	5.730529	5.169674	0.498058	1.108489	
499.029126	5.742114	5.158858	0.499029	1.113059	
500.000000	5.765285	5.169674	0.500000	1.115212	
500.970874	5.776870	5.180490	0.500971	1.115120	
501.941748	5.776870	5.158858	0.501942	1.119796	
502.912621	5.800040	5.180490	0.502913	1.119593	
503.883495	5.823211	5.180490	0.503883	1.124066	
504.854369	5.846382	5.180490	0.504854	1.128538	
505.825243	5.869552	5.169674	0.505825	1.135381	
506.796117	5.892723	5.191306	0.506796	1.135114	
507.766990	5.927478	5.191306	0.507767	1.141809	
508.737864	5.950649	5.191306	0.508738	1.146272	
509.708738	5.973819	5.180490	0.509709	1.153138	
510.679612	5.996990	5.202123	0.510680	1.152797	
511.650485	6.008575	5.191306	0.511650	1.157430	
512.621359	6.020160	5.202123	0.512621	1.157251	
513.592233	6.054916	5.169674	0.513592	1.171237	
514.563107	6.066501	5.202123	0.514563	1.166159	
515.533981	6.078087	5.191306	0.515534	1.170820	
516.504854	6.078087	5.191306	0.516505	1.170820	
517.475728	6.066501	5.180490	0.517476	1.171028	
518.446602	6.078087	5.180490	0.518447	1.173265	
519.417476	6.101257	5.191306	0.519417	1.175284	
520.388350	6.078087	5.180490	0.520388	1.173265	
521.359223	6.089672	5.180490	0.521359	1.175501	
522.330097	6.101257	5.169674	0.522330	1.180201	
523.300971	6.124428	5.180490	0.523301	1.182210	
524.271845	6.112842	5.169674	0.524272	1.182442	
525.242718	6.147598	5.169674	0.525243	1.189165	
526.213592	6.170769	5.191306	0.526214	1.188674	
527.184466	6.159183	5.202123	0.527184	1.183975	
528.155340	6.159183	5.191306	0.528155	1.186442	
529.126214	6.182354	5.202123	0.529126	1.188429	
530.097087	6.193939	5.202123	0.530097	1.190656	
531.067961	6.205524	5.191306	0.531068	1.195369	
532.038835	6.217110	5.202123	0.532039	1.195110	
533.009709	6.228695	5.202123	0.533010	1.197337	
533.980583	6.228695	5.245387	0.533981	1.187461	
534.951456	6.251865	5.212939	0.534951	1.199298	
535.922330	6.286621	5.202123	0.535922	1.208472	
536.893204	6.286621	5.180490	0.536893	1.213519	
537.864078	6.298206	5.191306	0.537864	1.213222	
538.834951	6.309792	5.180490	0.538835	1.217991	
539.805825	6.344547	5.202123	0.539806	1.219607	
540.776699	6.321377	5.212939	0.540777	1.212632	
541.747573	6.332962	5.180490	0.541748	1.222464	
542.718447	6.356133	5.191306	0.542718	1.224380	
543.689320	6.367718	5.180490	0.543689	1.229173	
544.660194	6.367718	5.202123	0.544660	1.224061	
545.631068	6.414059	5.202123	0.545631	1.232970	
546.601942	6.437229	5.191306	0.546602	1.240002	
547.572816	6.448815	5.234571	0.547573	1.231966	
548.543689	6.495156	5.212939	0.548544	1.245968	
549.514563	6.506741	5.234571	0.549515	1.243032	
550.485437	6.553082	5.223755	0.550485	1.254477	
551.456311	6.587838	5.245387	0.551456	1.255930	
552.427184	6.587838	5.234571	0.552427	1.258525	
553.398058	6.611008	5.245387	0.553398	1.260347	
554.368932	6.622594	5.223755	0.554369	1.267784	
555.339806	6.634179	5.212939	0.555340	1.272637	
556.310680	6.611008	5.202123	0.556311	1.270829	
557.281553	6.634179	5.202123	0.557282	1.275283	
558.252427	6.599423	5.191306	0.558252	1.271245	
559.223301	6.611008	5.202123	0.559223	1.270829	
560.194175	6.622594	5.202123	0.560194	1.273056	
561.165049	6.622594	5.180490	0.561165	1.278372	
562.135922	6.634179	5.212939	0.562136	1.272637	
