Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
312.621359	4.808343	5.070598	0.312621	0.948279	
313.592233	4.854684	5.092231	0.313592	0.953351	
314.563107	4.831513	5.048966	0.314563	0.956931	
315.533981	4.901025	5.048966	0.315534	0.970699	
316.504854	4.901025	5.016518	0.316505	0.976977	
317.475728	4.935781	5.048966	0.317476	0.977582	
318.446602	4.935781	5.048966	0.318447	0.977582	
319.417476	4.970536	5.048966	0.319417	0.984466	
320.388350	5.005292	5.048966	0.320388	0.991350	
321.359223	5.040048	5.103047	0.321359	0.987655	
322.330097	5.086389	5.092231	0.322330	0.998853	
323.300971	5.121145	5.135495	0.323301	0.997206	
324.271845	5.144315	5.135495	0.324272	1.001717	
325.242718	5.202241	5.167944	0.325243	1.006637	
326.213592	5.213827	5.178760	0.326214	1.006771	
327.184466	5.236997	5.178760	0.327184	1.011245	
328.155340	5.260168	5.178760	0.328155	1.015720	
329.126214	5.294924	5.157127	0.329126	1.026720	
330.097087	5.318094	5.124679	0.330097	1.037742	
331.067961	5.341265	5.092231	0.331068	1.048905	
332.038835	5.352850	5.070598	0.332039	1.055664	
333.009709	5.399191	5.038150	0.333010	1.071661	
333.980583	5.445532	5.016518	0.333981	1.085520	
334.951456	5.445532	5.016518	0.334951	1.085520	
335.922330	5.491873	4.994886	0.335922	1.099499	
336.893204	5.526629	5.016518	0.336893	1.101686	
337.864078	5.561384	5.059782	0.337864	1.099135	
338.834951	5.607725	5.070598	0.338835	1.105930	
339.805825	5.642481	5.135495	0.339806	1.098722	
340.776699	5.688822	5.178760	0.340777	1.098491	
341.747573	5.711993	5.211208	0.341748	1.096098	
342.718447	5.723578	5.243656	0.342718	1.091524	
343.689320	5.758334	5.254473	0.343689	1.095892	
344.660194	5.781504	5.232840	0.344660	1.104850	
345.631068	5.793089	5.232840	0.345631	1.107064	
346.601942	5.827845	5.200392	0.346602	1.120655	
347.572816	5.827845	5.157127	0.347573	1.130056	
348.543689	5.862601	5.135495	0.348544	1.141584	
349.514563	5.874186	5.070598	0.349515	1.158480	
350.485437	5.885771	5.038150	0.350485	1.168241	
351.456311	5.932112	5.016518	0.351456	1.182516	
352.427184	5.966868	5.027334	0.352427	1.186885	
353.398058	5.990039	5.027334	0.353398	1.191494	
354.368932	6.001624	5.048966	0.354369	1.188684	
355.339806	6.059550	5.070598	0.355340	1.195036	
356.310680	6.071136	5.135495	0.356311	1.182191	
357.281553	6.117477	5.189576	0.357282	1.178801	
358.252427	6.117477	5.222024	0.358252	1.171476	
359.223301	6.163818	5.276105	0.359223	1.168252	
360.194175	6.163818	5.265289	0.360194	1.170651	
361.165049	6.221744	5.286921	0.361165	1.176818	
362.135922	6.198573	5.276105	0.362136	1.174839	
363.106796	6.210159	5.232840	0.363107	1.186766	
