Etude: Indentation_Silicone_Rouge_talc_1_1	27/11/2012 18:59:38

Conditions de l'essai:
Type d'indenteur:Sphère	Rayon (mm) :1.590000	Angle (°) :1.590000
Contact:
Seuil de détection (mN): 0.020000	Distance de retrait (µm): 100.000000
Type de test: Deplacement imposé 
Enfoncement (µm): 100.000000
Vitesse de rampe (µm/s): 25.000000	Temps de relaxation (s): 0.000000

Déplacement en Z corrigé (µm):	Effort normal (mN):	Temps (s):	Déflection du capteur (µm):	Déplacement de la table (µm):
0.332453	-0.001502	0.578000
0.381107	-0.001502	0.579000
0.381107	-0.001502	0.580000
0.332453	-0.001502	0.581000
0.333614	-0.003217	0.582000
0.283800	-0.001502	0.583000
0.332453	-0.001502	0.584000
0.332453	-0.001502	0.585000
0.334774	-0.004932	0.586000
0.284961	-0.003217	0.587000
0.328972	0.003644	0.588000
0.381107	-0.001502	0.589000
0.283800	-0.001502	0.590000
0.332453	-0.001502	0.591000
0.332453	-0.001502	0.592000
0.283800	-0.001502	0.593000
0.332453	-0.001502	0.594000
0.328972	0.003644	0.595000
0.332453	-0.001502	0.596000
0.332453	-0.001502	0.597000
0.332453	-0.001502	0.598000
0.284961	-0.003217	0.599000
0.381107	-0.001502	0.600000
0.378786	0.001929	0.601000
0.235147	-0.001502	0.602000
0.283800	-0.001502	0.603000
0.332453	-0.001502	0.604000
0.381107	-0.001502	0.605000
0.231665	0.003644	0.606000
0.332453	-0.001502	0.607000
0.328972	0.003644	0.608000
0.280319	0.003644	0.609000
0.332453	-0.001502	0.610000
0.330132	0.001929	0.611000
0.332453	-0.001502	0.612000
0.279158	0.005359	0.613000
0.381107	-0.001502	0.614000
0.381107	-0.001502	0.615000
0.332453	-0.001502	0.616000
0.280319	0.003644	0.617000
0.381107	-0.001502	0.618000
0.328972	0.003644	0.619000
0.377625	0.003644	0.620000
0.332453	-0.001502	0.621000
0.283800	-0.001502	0.622000
0.230505	0.005359	0.623000
0.332453	-0.001502	0.624000
0.283800	-0.001502	0.625000
0.332453	-0.001502	0.626000
0.330132	0.001929	0.627000
0.283800	-0.001502	0.628000
0.332453	-0.001502	0.629000
0.283800	-0.001502	0.630000
0.383427	-0.004932	0.631000
0.332453	-0.001502	0.632000
0.332453	-0.001502	0.633000
0.332453	-0.001502	0.634000
0.283800	-0.001502	0.635000
0.283800	-0.001502	0.636000
0.283800	-0.001502	0.637000
0.381107	-0.001502	0.638000
0.332453	-0.001502	0.639000
0.332453	-0.001502	0.640000
0.334774	-0.004932	0.641000
0.283800	-0.001502	0.642000
0.283800	-0.001502	0.643000
0.283800	-0.001502	0.644000
0.332453	-0.001502	0.645000
0.328972	0.003644	0.646000
0.280319	0.003644	0.647000
0.332453	-0.001502	0.648000
0.332453	-0.001502	0.649000
0.427439	0.001929	0.650000
0.332453	-0.001502	0.651000
0.332453	-0.001502	0.652000
0.377625	0.003644	0.653000
0.332453	-0.001502	0.654000
0.332453	-0.001502	0.655000
0.280319	0.003644	0.656000
0.332453	-0.001502	0.657000
0.332453	-0.001502	0.658000
0.333614	-0.003217	0.659000
0.328972	0.003644	0.660000
0.332453	-0.001502	0.661000
0.332453	-0.001502	0.662000
0.332453	-0.001502	0.663000
0.330132	0.001929	0.664000
0.381107	-0.001502	0.665000
0.332453	-0.001502	0.666000
0.332453	-0.001502	0.667000
0.378786	0.001929	0.668000
0.377625	0.003644	0.669000
0.283800	-0.001502	0.670000
0.376465	0.005359	0.671000
0.381107	-0.001502	0.672000
0.279158	0.005359	0.673000
0.330132	0.001929	0.674000
0.332453	-0.001502	0.675000
0.279158	0.005359	0.676000
0.376465	0.005359	0.677000
0.332453	-0.001502	0.678000
0.332453	-0.001502	0.679000
0.332453	-0.001502	0.680000
0.328972	0.003644	0.681000
0.332453	-0.001502	0.682000
0.332453	-0.001502	0.683000
0.332453	-0.001502	0.684000
0.283800	-0.001502	0.685000
0.330132	0.001929	0.686000
0.332453	-0.001502	0.687000
0.235147	-0.001502	0.688000
0.332453	-0.001502	0.689000
0.328972	0.003644	0.690000
0.328972	0.003644	0.691000
0.283800	-0.001502	0.692000
0.327811	0.005359	0.693000
0.283800	-0.001502	0.694000
0.283800	-0.001502	0.695000
0.326651	0.007074	0.696000
0.332453	-0.001502	0.697000
0.381107	-0.001502	0.698000
0.332453	-0.001502	0.699000
0.381107	-0.001502	0.700000
0.279158	0.005359	0.701000
0.378786	0.001929	0.702000
0.332453	-0.001502	0.703000
0.332453	-0.001502	0.704000
0.332453	-0.001502	0.705000
0.280319	0.003644	0.706000
0.328972	0.003644	0.707000
0.381107	-0.001502	0.708000
0.332453	-0.001502	0.709000
0.283800	-0.001502	0.710000
0.283800	-0.001502	0.711000
0.235147	-0.001502	0.712000
0.283800	-0.001502	0.713000
0.328972	0.003644	0.714000
0.381107	-0.001502	0.715000
0.332453	-0.001502	0.716000
0.332453	-0.001502	0.717000
0.280319	0.003644	0.718000
0.332453	-0.001502	0.719000
0.332453	-0.001502	0.720000
0.283800	-0.001502	0.721000
0.283800	-0.001502	0.722000
0.332453	-0.001502	0.723000
0.283800	-0.001502	0.724000
0.283800	-0.001502	0.725000
0.283800	-0.001502	0.726000
0.235147	-0.001502	0.727000
0.283800	-0.001502	0.728000
0.283800	-0.001502	0.729000
0.281479	0.001929	0.730000
0.283800	-0.001502	0.731000
0.283800	-0.001502	0.732000
0.332453	-0.001502	0.733000
0.332453	-0.001502	0.734000
0.332453	-0.001502	0.735000
0.235147	-0.001502	0.736000
0.283800	-0.001502	0.737000
0.332453	-0.001502	0.738000
0.332453	-0.001502	0.739000
0.328972	0.003644	0.740000
0.283800	-0.001502	0.741000
0.332453	-0.001502	0.742000
0.283800	-0.001502	0.743000
0.283800	-0.001502	0.744000
0.280319	0.003644	0.745000
0.279158	0.005359	0.746000
0.381107	-0.001502	0.747000
0.332453	-0.001502	0.748000
0.280319	0.003644	0.749000
0.332453	-0.001502	0.750000
0.327811	0.005359	0.751000
0.231665	0.003644	0.752000
0.332453	-0.001502	0.753000
0.378786	0.001929	0.754000
0.281479	0.001929	0.755000
0.330132	0.001929	0.756000
0.332453	-0.001502	0.757000
0.283800	-0.001502	0.758000
0.280319	0.003644	0.759000
0.332453	-0.001502	0.760000
0.330132	0.001929	0.761000
0.332453	-0.001502	0.762000
0.280319	0.003644	0.763000
0.279158	0.005359	0.764000
0.283800	-0.001502	0.765000
0.332453	-0.001502	0.766000
0.374144	0.008789	0.767000
0.327811	0.005359	0.768000
0.332453	-0.001502	0.769000
0.376465	0.005359	0.770000
0.279158	0.005359	0.771000
0.332453	-0.001502	0.772000
0.330132	0.001929	0.773000
0.327811	0.005359	0.774000
0.280319	0.003644	0.775000
0.283800	-0.001502	0.776000
0.377625	0.003644	0.777000
0.332453	-0.001502	0.778000
0.376465	0.005359	0.779000
0.283800	-0.001502	0.780000
0.332453	-0.001502	0.781000
0.283800	-0.001502	0.782000
