Etude: Indentation_Silicone_Vert_talc_1_1	27/11/2012 18:44:25

Conditions de l'essai:
Type d'indenteur:Sphère	Rayon (mm) :1.590000	Angle (°) :1.590000
Contact:
Seuil de détection (mN): 0.020000	Distance de retrait (µm): 100.000000
Type de test: Deplacement imposé 
Enfoncement (µm): 100.000000
Vitesse de rampe (µm/s): 25.000000	Temps de relaxation (s): 0.000000

Déplacement en Z corrigé (µm):	Effort normal (mN):	Temps (s):	Déflection du capteur (µm):	Déplacement de la table (µm):
0.286293	-0.005186	0.606000
0.286293	-0.005186	0.607000
0.282811	-0.000040	0.608000
0.331465	-0.000040	0.609000
0.331465	-0.000040	0.610000
0.286293	-0.005186	0.611000
0.334946	-0.005186	0.612000
0.337267	-0.008616	0.613000
0.282811	-0.000040	0.614000
0.334946	-0.005186	0.615000
0.334946	-0.005186	0.616000
0.286293	-0.005186	0.617000
0.383599	-0.005186	0.618000
0.336107	-0.006901	0.619000
0.380118	-0.000040	0.620000
0.334946	-0.005186	0.621000
0.383599	-0.005186	0.622000
0.384760	-0.006901	0.623000
0.378957	0.001675	0.624000
0.288614	-0.008616	0.625000
0.286293	-0.005186	0.626000
0.330304	0.001675	0.627000
0.336107	-0.006901	0.628000
0.286293	-0.005186	0.629000
0.330304	0.001675	0.630000
0.334946	-0.005186	0.631000
0.334946	-0.005186	0.632000
0.281651	0.001675	0.633000
0.334946	-0.005186	0.634000
0.331465	-0.000040	0.635000
0.334946	-0.005186	0.636000
0.334946	-0.005186	0.637000
0.286293	-0.005186	0.638000
0.334946	-0.005186	0.639000
0.282811	-0.000040	0.640000
0.330304	0.001675	0.641000
0.283972	-0.001755	0.642000
0.237640	-0.005186	0.643000
0.334946	-0.005186	0.644000
0.331465	-0.000040	0.645000
0.281651	0.001675	0.646000
0.383599	-0.005186	0.647000
0.334946	-0.005186	0.648000
0.334946	-0.005186	0.649000
0.376636	0.005105	0.650000
0.381278	-0.001755	0.651000
0.334946	-0.005186	0.652000
0.237640	-0.005186	0.653000
0.334946	-0.005186	0.654000
0.334946	-0.005186	0.655000
0.286293	-0.005186	0.656000
0.334946	-0.005186	0.657000
0.334946	-0.005186	0.658000
0.282811	-0.000040	0.659000
0.383599	-0.005186	0.660000
0.286293	-0.005186	0.661000
0.237640	-0.005186	0.662000
0.287453	-0.006901	0.663000
0.336107	-0.006901	0.664000
0.334946	-0.005186	0.665000
0.286293	-0.005186	0.666000
0.334946	-0.005186	0.667000
0.282811	-0.000040	0.668000
0.334946	-0.005186	0.669000
0.288614	-0.008616	0.670000
0.331465	-0.000040	0.671000
0.334946	-0.005186	0.672000
0.283972	-0.001755	0.673000
0.334946	-0.005186	0.674000
0.331465	-0.000040	0.675000
0.286293	-0.005186	0.676000
0.286293	-0.005186	0.677000
0.330304	0.001675	0.678000
0.286293	-0.005186	0.679000
0.383599	-0.005186	0.680000
0.283972	-0.001755	0.681000
0.383599	-0.005186	0.682000
0.334946	-0.005186	0.683000
0.334946	-0.005186	0.684000
0.380118	-0.000040	0.685000
0.330304	0.001675	0.686000
0.286293	-0.005186	0.687000
0.334946	-0.005186	0.688000
0.383599	-0.005186	0.689000
0.334946	-0.005186	0.690000
0.334946	-0.005186	0.691000
0.286293	-0.005186	0.692000
0.334946	-0.005186	0.693000
0.334946	-0.005186	0.694000
0.378957	0.001675	0.695000
0.281651	0.001675	0.696000
0.282811	-0.000040	0.697000
0.286293	-0.005186	0.698000
0.334946	-0.005186	0.699000
0.330304	0.001675	0.700000
0.334946	-0.005186	0.701000
0.237640	-0.005186	0.702000
0.287453	-0.006901	0.703000
0.334946	-0.005186	0.704000
0.332625	-0.001755	0.705000
0.331465	-0.000040	0.706000
0.331465	-0.000040	0.707000
0.383599	-0.005186	0.708000
0.334946	-0.005186	0.709000
0.282811	-0.000040	0.710000
0.287453	-0.006901	0.711000
0.331465	-0.000040	0.712000
0.286293	-0.005186	0.713000
0.330304	0.001675	0.714000
0.331465	-0.000040	0.715000
0.334946	-0.005186	0.716000
0.334946	-0.005186	0.717000
0.334946	-0.005186	0.718000
0.282811	-0.000040	0.719000
0.286293	-0.005186	0.720000
0.286293	-0.005186	0.721000
0.286293	-0.005186	0.722000
0.334946	-0.005186	0.723000
0.378957	0.001675	0.724000
0.331465	-0.000040	0.725000
0.286293	-0.005186	0.726000
0.286293	-0.005186	0.727000
0.281651	0.001675	0.728000
0.383599	-0.005186	0.729000
0.330304	0.001675	0.730000
0.237640	-0.005186	0.731000
0.330304	0.001675	0.732000
0.334946	-0.005186	0.733000
0.334946	-0.005186	0.734000
0.334946	-0.005186	0.735000
0.286293	-0.005186	0.736000
0.383599	-0.005186	0.737000
0.286293	-0.005186	0.738000
0.334946	-0.005186	0.739000
0.331465	-0.000040	0.740000
0.334946	-0.005186	0.741000
0.286293	-0.005186	0.742000
0.332625	-0.001755	0.743000
0.286293	-0.005186	0.744000
0.381278	-0.001755	0.745000
0.331465	-0.000040	0.746000
0.334946	-0.005186	0.747000
0.334946	-0.005186	0.748000
0.330304	0.001675	0.749000
0.286293	-0.005186	0.750000
0.383599	-0.005186	0.751000
0.381278	-0.001755	0.752000
0.334946	-0.005186	0.753000
0.334946	-0.005186	0.754000
0.286293	-0.005186	0.755000
0.334946	-0.005186	0.756000
0.336107	-0.006901	0.757000
0.334946	-0.005186	0.758000
0.383599	-0.005186	0.759000
0.286293	-0.005186	0.760000
0.334946	-0.005186	0.761000
0.331465	-0.000040	0.762000
0.286293	-0.005186	0.763000
0.334946	-0.005186	0.764000
0.237640	-0.005186	0.765000
0.334946	-0.005186	0.766000
0.334946	-0.005186	0.767000
0.334946	-0.005186	0.768000
0.331465	-0.000040	0.769000
0.330304	0.001675	0.770000
0.334946	-0.005186	0.771000
0.282811	-0.000040	0.772000
0.286293	-0.005186	0.773000
0.281651	0.001675	0.774000
0.286293	-0.005186	0.775000
0.286293	-0.005186	0.776000
0.383599	-0.005186	0.777000
0.286293	-0.005186	0.778000
0.286293	-0.005186	0.779000
0.334946	-0.005186	0.780000
0.334946	-0.005186	0.781000
0.334946	-0.005186	0.782000
