Déplacement en Z corrigé (µm)	Effort normal (mN)
42,888374	-0,0212
42,932872	-0,010383
42,974072	-0,0212
43,022138	0,000433
43,070204	0,000433
43,118539	-0,010383
43,173471	0,000433
43,231703	0,000433
43,296801	0,022065
43,355301	-0,0212
43,423967	-0,010383
43,495663	-0,032016
43,557731	-0,010383
43,629696	-0,0212
43,691495	-0,042832
43,753294	-0,032016
43,818392	-0,0212
43,873325	-0,042832
43,924958	-0,032016
43,966427	-0,0212
44,014493	-0,032016
44,065858	-0,0212
44,103758	0,011249
44,141659	-0,010383
44,172693	-0,010383
44,22049	0,000433
44,255092	-0,0212
44,292724	0,000433
44,340521	0,032881
44,378421	-0,0212
44,416322	0,011249
44,46082	-0,032016
44,505587	-0,010383
44,560251	-0,032016
44,601719	-0,032016
44,659951	-0,032016
44,711316	-0,0212
44,772846	-0,042832
44,821181	-0,0212
44,879413	-0,0212
44,937913	-0,0212
44,989547	-0,0212
45,047778	-0,0212
45,10298	-0,010383
45,157912	-0,010383
45,22301	-0,0212
45,267778	-0,010383
45,336443	-0,0212
45,377911	-0,0212
45,44604	-0,0212
45,497673	-0,010383
45,566071	-0,010383
45,607539	-0,0212
45,658904	-0,0212
45,706701	-0,032016
45,751468	-0,0212
45,796235	-0,032016
45,844033	-0,042832
45,881933	0,000433
45,912967	-0,032016
45,964332	-0,032016
46,002233	-0,0212
46,033535	-0,032016
46,088199	-0,010383
46,129399	-0,010383
46,174166	-0,0212
46,235696	-0,010383
46,277164	0,032881
46,315334	-0,0212
46,379894	0,000433
46,431797	0,011249
46,493058	-0,010383
46,541393	-0,0212
46,596057	-0,0212
46,657856	-0,032016
46,705922	-0,0212
46,757556	-0,042832
46,81222	-0,0212
46,853688	-0,042832
46,901754	-0,0212
46,942954	-0,0212
46,984153	-0,0212
47,025353	-0,010383
47,07012	-0,032016
47,118186	-0,032016
47,162684	-0,0212
47,200585	0,000433
47,25195	-0,010383
47,306882	-0,010383
47,361815	-0,010383
47,413449	0,022065
47,468381	-0,0212
47,533479	-0,0212
47,588412	-0,0212
47,65351	-0,042832
47,705144	-0,032016
47,770242	-0,042832
47,821607	-0,042832
47,863344	-0,0212
47,921307	-0,042832
47,976239	-0,032016
48,021006	-0,0212
48,065505	-0,0212
48,106973	-0,032016
48,155039	-0,010383
48,206404	-0,010383
48,244304	0,000433
48,272308	-0,010383
48,330002	0,000433
48,371471	0,000433
48,423104	-0,010383
48,477768	-0,010383
48,522266	-0,042832
48,570333	-0,032016
48,635431	-0,042832
48,687064	-0,042832
48,741728	-0,064464
48,783196	-0,032016
48,844727	-0,042832
48,893062	-0,032016
48,947994	-0,032016
48,99606	-0,0212
49,047694	-0,010383
49,102358	-0,010383
49,157291	0,022065
49,195191	0,022065
49,243526	0,011249
49,294891	0,022065
49,342957	0,011249
49,391023	0,011249
49,422326	0,011249
49,490454	-0,010383
49,53852	-0,0212
49,586586	-0,032016
49,627517	-0,0212
49,665417	-0,042832
49,709916	-0,032016
49,744249	-0,032016
49,77885	-0,0212
49,819781	-0,032016
49,857681	-0,010383
49,888715	-0,0212
49,936781	0,000433
49,988146	0,000433
50,029615	0,011249
50,084547	0,011249
50,136181	0,000433
50,194412	0,032881
50,252913	0,011249
50,314712	0,000433
50,37981	0,000433
50,441609	0,000433
50,513305	-0,010383
50,578672	-0,010383
50,64377	-0,010383
50,705569	-0,010383
50,7671	-0,0212
50,812136	-0,0212
50,870367	-0,010383
50,915134	-0,0212
50,9632	-0,010383
51,001101	0,000433
51,045868	-0,010383
51,087068	0,000433
51,11837	0,000433
51,152703	0,011249
51,190335	-0,010383
51,228235	0,022065
51,2796	0,011249
51,313933	-0,010383
51,361999	0,000433
51,416663	-0,0212
51,468028	-0,010383
51,52626	-0,0212
51,571027	-0,0212
51,625691	-0,0212
51,677324	-0,032016
51,739124	-0,0212
51,790757	-0,010383
51,848989	-0,0212
51,90419	-0,032016
51,962422	0,000433
