Déplacement en Z corrigé (µm)	Effort normal (mN)						
37,154513	-0,00822						
37,192414	0,013412						
37,24048	0,002596						
37,291845	0,002596						
37,326446	0,024228						
37,374512	0,013412						
37,429445	0,013412						
37,487677	0,013412						
37,545908	-0,00822						
37,597542	0,002596						
37,66264	-0,00822						
37,724439	-0,00822						
37,77964	-0,040669						
37,851336	-0,019036						
37,923301	-0,019036						
37,971636	-0,029853						
38,029867	-0,019036						
38,0848	-0,00822						
38,136434	-0,00822						
38,1845	-0,029853						
38,229267	-0,00822						
38,267167	0,024228						
38,308367	-0,00822						
38,342969	0,013412						
38,394065	-0,00822						
38,4218	0,024228						
38,456133	-0,00822						
38,497332	0,024228						
38,528366	0,024228						
38,572864	0,002596						
38,620931	-0,00822						
38,668728	-0,019036						
38,713226	-0,029853						
38,754694	-0,040669						
38,809358	-0,029853						
38,864291	-0,029853						
38,919224	-0,040669						
38,984322	-0,040669						
39,046121	-0,00822						
39,094456	-0,029853						
39,163121	-0,019036						
39,225189	-0,00822						
39,283421	0,013412						
39,34522	0,013412						
39,400421	0,035044						
39,46552	0,024228						
39,520452	0,024228						
39,575385	0,002596						
39,636915	0,024228						
39,688549	-0,00822						
39,739914	-0,019036						
39,78798	0,002596						
39,839076	-0,00822						
39,873678	-0,019036						
39,908011	-0,00822						
39,952509	-0,019036						
39,983543	-0,040669						
40,014577	-0,019036						
40,055776	-0,019036						
40,096707	-0,00822						
40,131309	0,002596						
40,169478	0,002596						
40,227441	0,013412						
40,268909	0,013412						
40,33044	0,002596						
40,375475	0,002596						
40,440305	0,024228						
40,499074	0,035044						
40,560873	0,002596						
40,62927	0,002596						
40,701235	0,002596						
40,773199	-0,019036						
40,838298	0,002596						
40,903396	-0,00822						
40,961896	-0,019036						
41,023695	-0,019036						
41,081927	-0,040669						
41,136859	-0,019036						
41,175029	-0,029853						
41,229692	-0,019036						
41,27446	-0,019036						
41,31236	-0,00822						
41,346962	-0,00822						
41,388161	-0,019036						
41,422763	0,002596						
41,460395	0,002596						
41,501594	-0,00822						
41,549391	-0,019036						
41,59086	-0,00822						
41,648822	-0,00822						
41,700187	-0,029853						
41,748522	-0,019036						
41,799887	-0,029853						
41,858119	-0,040669						
41,909752	-0,019036						
41,967984	-0,040669						
42,029514	-0,019036						
42,084716	-0,029853						
42,139648	-0,029853						
42,191282	-0,019036						
42,249782	-0,029853						
42,304715	-0,00822						
42,356349	0,002596						
42,404415	-0,00822						
42,45578	-0,00822						
42,510712	0,002596						
42,545314	0,013412						
42,590081	0,002596						
42,641177	-0,019036						
42,682377	0,002596						
42,723576	-0,029853						
42,764507	-0,029853						
42,799109	-0,019036						
42,829874	-0,040669						
42,874372	-0,051485						
42,915572	-0,019036						
42,963369	-0,051485						
42,997971	-0,062301						
43,049335	-0,051485						
43,094103	-0,040669						
43,149035	-0,029853						
43,200669	-0,029853						
43,255602	-0,00822						
43,3207	-0,019036						
43,382768	-0,00822						
43,451433	-0,00822						
43,516532	0,002596						
43,588496	-0,00822						
43,653863	0,013412						
43,715662	-0,00822						
43,784059	-0,00822						
43,84256	-0,019036						
43,900791	-0,029853						
43,959023	-0,029853						
44,000491	-0,029853						
44,062021	-0,019036						
44,096623	-0,029853						
44,141121	-0,029853						
44,182321	-0,019036						
44,220221	-0,019036						
44,257853	-0,019036						
44,292455	-0,00822						
44,323489	-0,00822						
44,361121	-0,00822						
44,40232	0,002596						
44,447087	0,002596						
44,484988	0,013412						
44,529486	-0,019036						
44,58415	-0,00822						
44,625618	-0,019036						
44,690448	-0,00822						
44,738514	-0,029853						
44,790147	-0,029853						
44,851678	-0,029853						
44,916776	-0,029853						
44,961812	-0,029853						
45,026641	-0,040669						
45,084873	-0,051485						
45,150239	-0,019036						
45,201873	-0,00822						
45,253507	-0,00822						
45,308439	0,002596						
45,363641	0,002596						
45,415006	-0,00822						
45,46664	0,002596						
45,514706	-0,00822						
45,573206	0,002596						
45,624571	0,013412						
45,666039	0,002596						
45,713836	-0,019036						
45,761902	-0,00822						
45,813267	-0,019036						
45,857766	-0,019036						
45,898965	-0,019036						
45,940165	-0,029853						
45,984932	-0,040669						
