Déplacement en Z corrigé (µm)	Effort normal (mN)
18,40189	-0,027257
18,457091	-0,005624
18,515592	0,005192
18,583989	0,016008
18,629025	0,016008
18,680658	0,016008
18,725425	0,026824
18,766625	0,026824
18,804257	0,016008
18,852323	0,016008
18,886924	0,016008
18,927855	0,016008
18,965487	0,005192
18,99982	-0,016441
19,034153	-0,005624
19,075352	-0,005624
19,123418	-0,027257
19,164349	0,005192
19,212415	-0,038073
19,253614	-0,027257
19,305248	-0,016441
19,356882	-0,027257
19,415113	-0,016441
19,459881	-0,005624
19,52168	0,005192
19,583479	0,005192
19,635113	-0,005624
19,686746	0,005192
19,73838	0,016008
19,79991	0,016008
19,851544	0,005192
19,906208	0,016008
19,967738	-0,005624
20,016073	-0,016441
20,070737	-0,016441
20,108638	-0,027257
20,149837	-0,016441
20,211368	-0,027257
20,256135	-0,027257
20,294035	-0,016441
20,341833	-0,027257
20,383301	-0,048889
20,434935	-0,016441
20,479702	-0,027257
20,520901	-0,016441
20,568967	0,005192
20,620601	0,016008
20,675533	0,005192
20,726898	0,005192
20,774964	0,005192
20,829897	0,026824
20,88483	0,005192
20,936195	-0,005624
20,997725	-0,016441
21,042492	-0,016441
21,104291	-0,027257
21,158955	-0,048889
21,197125	-0,027257
21,265253	-0,016441
21,316887	-0,016441
21,36852	-0,027257
21,419885	-0,016441
21,457786	-0,005624
21,50942	-0,005624
21,54732	-0,005624
21,58852	-0,005624
21,633018	0,016008
21,670918	0,005192
21,715686	0,016008
21,756885	0,005192
21,80825	-0,005624
21,846151	-0,005624
21,900814	-0,016441
21,959046	-0,027257
22,013979	-0,016441
22,07221	-0,038073
22,13071	-0,027257
22,202675	-0,038073
22,264474	-0,016441
22,322975	-0,027257
22,388073	-0,016441
22,45647	0,005192
22,508372	-0,016441
22,57347	0,005192
22,631971	-0,005624
22,680305	0,016008
22,725072	0,016008
22,776437	0,005192
22,83137	0,016008
22,87257	0,016008
22,914038	0,016008
22,948102	-0,005624
22,9926	-0,016441
23,030232	-0,027257
